Identifiant machine : 12211148
SolarR : 0
HyrdroR : 0
Version électronique : 3.0
Date installation : 24/12/22
Date ajout Jeedom : 2025-07-23 01:59:07
Compte Market : Fortin.Savenay
DNS : https://6b9e30d9.eu.jeedom.link
Date;Mode;Etat système;Plage horaire actives;Débit fixe;Surventilation;Vacances;Boost;Temp Consigne Elec;Tmax;Temp consigne HydroR;Temp Confort Utilisateur;Saison;Débit air (m3/h);Puissance Chauffage;Consigne vitesse moteur;Température extérieure;Consigne pression diff (Pa);Encrassement filtre (%);Nb semaine depuis maintenance;Durée fonctionnement (j);Code erreur 1;Code erreur 2;Bypass amont présent;Volume à ventiler (m3);Version logiciel embarqué;Sonde 0;Température 0;Humidité 0;Sonde 1;Température 1;Humidité 1;Sonde 2;Température 2;Humidité 2;Sonde 3;Température 3;Humidité 3;Sonde 4;Température 4;Humidité 4;Capteur 0;Température Capteur 0;Humidité Capteur 0;Co2 Capteur 0;Capteur 1;Température Capteur 1;Humidité Capteur 1;Co2 Capteur 1;Capteur 2;Température Capteur 2;Humidité Capteur 2;Co2 Capteur 2;Capteur 3;Température Capteur 3;Humidité Capteur 3;Co2 Capteur 3;Capteur 4;Température Capteur 4;Humidité Capteur 4;Co2 Capteur 4;Capteur 5;Température Capteur 5;Humidité Capteur 5;Co2 Capteur 5;Capteur 6;Température Capteur 6;Humidité Capteur 6;Co2 Capteur 6;Capteur 7;Température Capteur 7;Humidité Capteur 7;Co2 Capteur 7;Capteur 8;Température Capteur 8;Humidité Capteur 8;Co2 Capteur 8;Capteur 9;Température Capteur 9;Humidité Capteur 9;Co2 Capteur 9;Ouverture vanne HydroR;Bypass Type;Ouverture bypass 1;Type bypass 1;Ouverture bypass 2;Type bypass 2;Ouverture bypass 3;Type bypass 3;Signal Radio VMI (dBm)
2025-07-23 05:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;15;160;89;46;955;FF;FF;0;288;5.9;Sortie des resistances;15;100;Au niveau de l'entree d'air;15;100;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;22,8;70;780;810054f5|Salle de bain 1|A5_04_01;22,1;79,4;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;22,5;66;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-92
2025-07-23 09:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;16;160;89;46;955;FF;FF;0;288;5.9;Sortie des resistances;17;100;Au niveau de l'entree d'air;16;100;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;22,4;71,3;566,7;810054f5|Salle de bain 1|A5_04_01;22,1;80;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;22,4;67,5;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-94
2025-07-23 13:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;26;160;89;46;955;FF;FF;0;288;5.9;Sortie des resistances;27;50;Au niveau de l'entree d'air;26;54;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;23;69,2;471,7;810054f5|Salle de bain 1|A5_04_01;22,5;79,2;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;22,4;67,8;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-94
2025-07-23 17:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;24;160;89;46;955;FF;FF;0;288;5.9;Sortie des resistances;24;59;Au niveau de l'entree d'air;24;63;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;23,9;66,7;505;810054f5|Salle de bain 1|A5_04_01;22,8;78,5;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;22,6;67;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-91
2025-07-23 21:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;19;160;89;46;955;FF;FF;0;288;5.9;Sortie des resistances;19;84;Au niveau de l'entree d'air;19;88;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;23,6;69,4;628,3;810054f5|Salle de bain 1|A5_04_01;22,7;81,7;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;23,4;68;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-95
2025-07-24 01:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;14;152;89;46;955;FF;FF;0;288;5.9;Sortie des resistances;15;93;Au niveau de l'entree d'air;14;97;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;23,3;69,9;951,7;810054f5|Salle de bain 1|A5_04_01;22,4;81,3;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;23;67,3;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-91
2025-07-24 05:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;14;152;89;46;956;FF;FF;0;288;5.9;Sortie des resistances;14;99;Au niveau de l'\''entree d'\''air;14;100;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;22,7;70,3;856,7;810054f5|Salle de bain 1|A5_04_01;22,1;80,3;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;22,6;67;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-91
2025-07-24 09:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;18;152;89;46;956;FF;FF;0;288;5.9;Sortie des resistances;18;80;Au niveau de l'\''entree d'\''air;18;84;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;22,2;70,5;680;810054f5|Salle de bain 1|A5_04_01;22;79,6;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;22,5;67;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-91
2025-07-24 13:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;28;168;89;46;956;FF;FF;0;288;5.9;Sortie des resistances;28;43;Au niveau de l'\''entree d'\''air;28;46;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;23;69;540;810054f5|Salle de bain 1|A5_04_01;22,1;79,2;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;22,5;67;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-92
2025-07-24 17:50:00;Std;Mode Debit Fixe;1;1;1;0;0;0;0;0;0;Ete;129;0;3;26;168;89;46;956;FF;FF;0;288;5.9;Sortie des resistances;26;44;Au niveau de l'\''entree d'\''air;26;47;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;24,3;62,9;486,7;810054f5|Salle de bain 1|A5_04_01;22,1;78,3;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;22,7;66;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-92
2025-07-24 21:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;21;168;89;46;956;FF;FF;0;288;5.9;Sortie des resistances;21;57;Au niveau de l'\''entree d'\''air;21;60;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;24,4;62,1;783,3;810054f5|Salle de bain 1|A5_04_01;22,4;79,7;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;23,1;66;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-92
2025-07-25 01:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;15;152;89;46;956;FF;FF;0;288;5.9;Sortie des resistances;16;89;Au niveau de l'\''entree d'\''air;15;93;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;23,7;66,5;893,3;810054f5|Salle de bain 1|A5_04_01;22,1;78,4;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;22,6;66;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-95
2025-07-25 05:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;14;152;89;46;957;FF;FF;0;288;5.9;Sortie des resistances;14;93;Au niveau de l'\''entree d'\''air;14;97;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;23;67,5;778,3;810054f5|Salle de bain 1|A5_04_01;21,9;78,4;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;22,3;66;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-91
2025-07-25 09:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;16;152;89;46;957;FF;FF;0;288;5.9;Sortie des resistances;17;87;Au niveau de l'\''entree d'\''air;16;91;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;22,4;68,1;551,7;810054f5|Salle de bain 1|A5_04_01;21,8;79,2;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;22,2;66;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-94
2025-07-25 13:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;23;160;89;46;957;FF;FF;0;288;5.9;Sortie des resistances;23;61;Au niveau de l'\''entree d'\''air;23;64;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;23,2;68,5;503,3;810054f5|Salle de bain 1|A5_04_01;22,1;78,5;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;22,8;66;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-91
2025-07-25 17:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;26;168;89;46;957;FF;FF;0;288;5.9;Sortie des resistances;26;53;Au niveau de l'\''entree d'\''air;26;56;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;23,9;67;476,7;810054f5|Salle de bain 1|A5_04_01;22,6;78,3;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;23,1;66;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-94
2025-07-25 21:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;27;168;89;46;957;FF;FF;0;288;5.9;Sortie des resistances;27;51;Au niveau de l'\''entree d'\''air;27;54;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;24,8;66;530;810054f5|Salle de bain 1|A5_04_01;22,9;81,7;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;23,7;67;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-92
2025-07-26 01:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;17;152;90;46;958;FF;FF;0;288;5.9;Sortie des resistances;17;88;Au niveau de l'\''entree d'\''air;17;92;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;24,4;69,3;906,7;810054f5|Salle de bain 1|A5_04_01;22,4;84;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;23,3;67,7;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-92
2025-07-26 05:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;15;152;90;46;958;FF;FF;0;288;5.9;Sortie des resistances;15;92;Au niveau de l'\''entree d'\''air;15;96;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;24;70;870;810054f5|Salle de bain 1|A5_04_01;22,4;84,3;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;23,1;67;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-91
2025-07-26 09:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;20;160;90;46;958;FF;FF;0;288;5.9;Sortie des resistances;20;73;Au niveau de l'\''entree d'\''air;20;76;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;23;70,8;668,3;810054f5|Salle de bain 1|A5_04_01;22,3;82,8;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;23,3;67;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-95
2025-07-26 13:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;28;184;90;46;958;FF;FF;0;288;5.9;Sortie des resistances;29;44;Au niveau de l'\''entree d'\''air;28;47;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;24;65,3;560;810054f5|Salle de bain 1|A5_04_01;22,5;84,3;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;23,4;64,3;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-95
2025-07-26 17:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;24;168;90;46;958;FF;FF;0;288;5.9;Sortie des resistances;24;65;Au niveau de l'\''entree d'\''air;24;68;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;25;65,3;480;810054f5|Salle de bain 1|A5_04_01;22,4;93;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;23,6;67;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-91
2025-07-26 21:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;20;168;90;46;958;FF;FF;0;288;5.9;Sortie des resistances;20;84;Au niveau de l'\''entree d'\''air;20;88;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;24,8;66,9;486;810054f5|Salle de bain 1|A5_04_01;22,4;88,7;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;23,5;68;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-95
2025-07-27 01:50:00;Std;Mode Debit Fixe;1;1;1;0;0;4;22;0;28;Ete;129;0;3;18;160;90;47;959;FF;FF;0;288;5.9;Sortie des resistances;18;93;Au niveau de l'\''entree d'\''air;18;97;Sonde absente;0;0;Sonde absente;0;0;Sonde absente;0;0;81003227|Chambre 1|A5_09_04;24;69,3;495;810054f5|Salle de bain 1|A5_04_01;22,4;87,1;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0422407d|Cuisine|MSC Assistant Ventilairsec;23,3;68;0;0;Toiture;0;Unknown;0;Unknown;0;Unknown;-95
